dataset_group	tier	dataset_or_analysis	packaged	staged_bytes	staged_size	archive_path	source_path	producer_or_source
Cross-platform mouse brain	raw	Cross-platform mouse brain	no		external	raw/README_cross_platform_mouse_brain.md	docs/cross_platform_mouse_brain_sources.md	Published NicheCompass MERFISH and STARmap PLUS reference
CRC Visium HD	intermediate	CRC histopathology	yes	19233709	18.3 MiB	intermediate/crc/8um_squares_annotation.csv	data/8um_squares_annotation.csv	Pathology annotations consumed by scripts/crc_visium_hd/crc_ma_histomorphology.py
Spatial coherence simulation	intermediate	Spatial coherence simulations	yes	24626048	23.5 MiB	intermediate/validation/coherence_simulation/	data/coherence_simulation/simulation_grid_based.h5ad; data/coherence_simulation/simulation_with_step_results.h5ad; data/coherence_simulation/simulation_local_ccc_negative_coherence.h5ad; data/coherence_simulation/simulation_local_ccc_negative_coherence_with_step.h5ad	Canonical simulated inputs and STEP outputs consumed by the coherence validation workflow
CRC Visium HD	intermediate	CRC Visium HD	yes	9498615057	8.8 GiB	intermediate/crc/crc_8um_5slices_domain.h5ad	results/visium-hd/crc_8um_5slices_domain.h5ad	notebooks/tutorials/crc_visium_hd_representation.ipynb
CRC Visium HD	intermediate	CRC Visium HD	yes	148184806	141.3 MiB	intermediate/crc/crc5_meta.csv	results/visium-hd/crc5_meta.csv	Manuscript marker-cluster metadata
CRC Visium HD	intermediate	CRC Visium HD	yes	247762158	236.3 MiB	intermediate/crc/crc5_meta_filtered.csv	results/visium-hd/crc5_meta_filtered.csv	Canonical-marker cell-type annotations consumed by the MA workflow
CRC Visium HD	intermediate	CRC Visium HD	yes	4465615465	4.2 GiB	intermediate/crc/cancer_tumor_regions.h5ad	results/visium-hd/cancer_tumor_regions.h5ad	notebooks/main/crc_visium_hd.ipynb
CRC Visium HD	intermediate	CRC Visium HD	yes	67048	65.5 KiB	intermediate/crc/periphery_distances.csv	periphery_distances.csv	notebooks/main/crc_visium_hd.ipynb
CRC Visium HD	intermediate	CRC Visium HD	yes	878979281	838.3 MiB	intermediate/crc/microarc_true50um.pkl	results/visium-hd/microarc_true50um.pkl	notebooks/tutorials/crc_visium_hd_microarchitecture.ipynb
CRC Visium HD	intermediate	CRC Visium HD	yes	259904437	247.9 MiB	intermediate/crc/metadata_with_patterns_true50um.csv	results/visium-hd/metadata_with_patterns_true50um.csv	scripts/crc_visium_hd/build_microarchitecture.py
CRC Visium HD	intermediate	CRC Visium HD	yes	629	629.0 B	intermediate/crc/microarc_true50um_settings.json	results/visium-hd/microarc_true50um_settings.json	scripts/crc_visium_hd/build_microarchitecture.py
CRC Visium HD	intermediate	CRC ligand-receptor source tables	yes	1289162	1.2 MiB	intermediate/crc/lr_source_tables/	results/visium-hd/niche_pattern_[0-3]_cellphonedb.csv; results/visium-hd/niche_pattern_[0-3]_multi_agg.csv	Original CellPhoneDB result tables; BH-FDR postprocessing is implemented in scripts/crc_visium_hd/run_lr_analysis.py
CRC Visium HD	intermediate	CRC Visium HD	yes	164313055	156.7 MiB	intermediate/crc/crc5_meta_with_deconv.csv	results/visium-hd/crc5_meta_with_deconv.csv	Consumed by scripts/crc_visium_hd/crc_ma_histomorphology.py
Prostate Slide-seq V2	intermediate	Prostate Slide-seq V2	yes	1205081462	1.1 GiB	intermediate/prostate/prostate_slideseq_step.h5ad	results/slide-seq/prostate_slideseq_step.h5ad	notebooks/tutorials/prostate_slideseq_v2_representation.ipynb
Prostate Slide-seq V2	intermediate	Prostate Slide-seq V2	yes	119225035	113.7 MiB	intermediate/prostate/prostate_microarchitecture_results.pkl	results/slide-seq/prostate_microarchitecture_results.pkl	scripts/prostate_slideseq_v2/build_microarchitecture.py
Prostate Slide-seq V2	intermediate	Prostate Slide-seq V2	yes	10008918	9.5 MiB	intermediate/prostate/prostate_microarchitecture_metadata.csv	results/slide-seq/prostate_microarchitecture_metadata.csv	scripts/prostate_slideseq_v2/build_microarchitecture.py
Prostate Slide-seq V2	intermediate	Prostate Slide-seq V2	yes	2541970	2.4 MiB	intermediate/prostate/lr_tables/	results/slide-seq/niche_pattern_[0-4]_cellphonedb.csv; results/slide-seq/niche_pattern_[0-4]_multi_agg.csv	notebooks/tutorials/prostate_slideseq_v2_microarchitecture.ipynb
DLPFC Visium	intermediate	DLPFC Visium	yes	1962917411	1.8 GiB	intermediate/dlpfc/	results/DLPFC/151507_to_151510_integrated.h5ad; results/DLPFC/151669_to_151672_integrated.h5ad; results/DLPFC/151673_to_151676_integrated.h5ad; results/DLPFC/p1_res.csv; results/DLPFC/p2_res.csv; results/DLPFC/p3_res.csv	notebooks/main/dlpfc_visium.ipynb
MERFISH hypothalamus	intermediate	MERFISH hypothalamus	yes	64965164	62.0 MiB	intermediate/merfish_hypothalamus/processed.h5ad	results/MERFISH/processed.h5ad	notebooks/main/merfish_hypothalamus_analysis.ipynb
STARmap MPFC	intermediate	STARmap MPFC	yes	9523812	9.1 MiB	intermediate/starmap_mpfc/processed.h5ad	results/STARmap/processed.h5ad	notebooks/main/starmap_mpfc.ipynb
Human liver	intermediate	Liver spatial domains and zonation	yes	752702964	717.8 MiB	intermediate/liver/spatial_domains_and_zonation.h5ad	results/human_liver_normal4/config/zoned.h5ad	notebooks/main/liver_visium_BA_normal.ipynb
Human liver	intermediate	Liver joint co-embedding	yes	1509140032	1.4 GiB	intermediate/liver/joint_coembedding.h5ad	results/human_liver_normal4/deconv/integrated_adata.h5ad	notebooks/main/liver_visium_BA_normal.ipynb
Human liver	intermediate	Liver spatial deconvolution	yes	629096192	600.0 MiB	intermediate/liver/spatial_deconvolution.h5ad	results/human_liver_normal4/deconv/st_adata.h5ad	notebooks/main/liver_visium_BA_normal.ipynb
Human liver	intermediate	Liver deconvolution estimates	yes	1849469	1.8 MiB	intermediate/liver/deconvolution_estimates.csv	results/human_liver_normal4/deconv/deconv_res.csv	notebooks/main/liver_visium_BA_normal.ipynb
Whole-brain MERFISH	intermediate	Whole-brain MERFISH	yes	418753286	399.4 MiB	intermediate/whole_brain_merfish/merged_and_step_outputs/	results/merfish_wo_imputation_merged/	scripts/merfish_whole_brain/run_merfish.py
Cross-platform mouse brain	intermediate	Cross-platform mouse brain annotations	yes	36793891	35.1 MiB	intermediate/cross_platform_mouse_brain/evaluation_annotations.parquet	results/cross_platform_mouse_brain/evaluation_annotations.parquet	scripts/cross_platform_mouse_brain/build_evaluation_annotations.py
Cross-platform mouse brain	intermediate	Cross-platform mouse brain annotation summary	yes	866	866.0 B	intermediate/cross_platform_mouse_brain/evaluation_annotations.summary.json	results/cross_platform_mouse_brain/evaluation_annotations.summary.json	scripts/cross_platform_mouse_brain/build_evaluation_annotations.py
Cross-platform mouse brain	intermediate	Cross-platform mouse brain STEP	yes	1864204662	1.7 GiB	intermediate/cross_platform_mouse_brain/step_9471568_k10/	results/cross_platform_mouse_brain/step_9471568_k10/	scripts/cross_platform_mouse_brain/run_step_cross_platform.py
Spatial coherence simulation	output	Spatial coherence simulations	yes	8925797	8.5 MiB	outputs/workflows/coherence_simulation/	workflows/coherence_simulation/	scripts/coherence_simulation/ and notebooks/validation/spatial_coherence_simulation.ipynb
CRC Visium HD	output	CRC gene-distance heatmaps	yes	9995657	9.5 MiB	outputs/workflows/crc_gene_distance_heatmaps/	workflows/crc_gene_distance_heatmaps/	scripts/crc_visium_hd/make_crc_gene_distance_heatmaps.py
CRC Visium HD	output	CRC interface zonation	yes	2091007	2.0 MiB	outputs/workflows/crc_interface_zonation/	workflows/crc_interface_zonation/	scripts/crc_visium_hd/make_crc_interface_zonation_stacked.py
CRC Visium HD	output	CRC MA histomorphology	yes	178281	174.1 KiB	outputs/workflows/crc_ma_histomorphology/	workflows/crc_ma_histomorphology/	scripts/crc_visium_hd/crc_ma_histomorphology.py
CRC Visium HD	output	CRC MA threshold sensitivity	yes	7532010	7.2 MiB	outputs/workflows/crc_ma_threshold_sensitivity/	workflows/crc_ma_threshold_sensitivity/	scripts/crc_visium_hd/ma_threshold_sensitivity.py
CRC Visium HD	output	CRC periphery continuity	yes	363177	354.7 KiB	outputs/workflows/crc_periphery_continuity/	workflows/crc_periphery_continuity/	scripts/crc_visium_hd/plot_periphery_continuity.R
Multi-dataset runtime benchmark	output	External benchmark runtime	yes	130963	127.9 KiB	outputs/workflows/external_benchmark_runtime/	workflows/external_benchmark_runtime/	scripts/runtime/make_external_runtime_figure.py
Synthetic graph-sampling control	output	GraphSAINT sampling	yes	559913	546.8 KiB	outputs/workflows/graphsaint_sampling/	workflows/graphsaint_sampling/	scripts/graphsaint_sampling/simulate_square_grid_node_sampling.py
Image-based graph sensitivity	output	Image-based graph k sweep	yes	3241678	3.1 MiB	outputs/workflows/image_based_k_sweep/	workflows/image_based_k_sweep/	scripts/image_based_k_sweep/
Whole-brain MERFISH	output	Whole-brain MERFISH	yes	24447964	23.3 MiB	outputs/workflows/merfish_whole_brain_8_4m/	workflows/merfish_whole_brain_8_4m/	scripts/merfish_whole_brain/run_merfish.py
Cross-platform mouse brain	output	Cross-platform mouse brain comparison	yes	24763803	23.6 MiB	outputs/workflows/cross_platform_mouse_brain/	workflows/cross_platform_mouse_brain/	scripts/cross_platform_mouse_brain/compare_step_nichecompass.py; scripts/cross_platform_mouse_brain/compare_step_nichecompass_domains.py
Synthetic module ablation	output	STEP module ablation	yes	25807352	24.6 MiB	outputs/workflows/module_ablation/	workflows/module_ablation/	scripts/module_ablation/
MOSTA E16.5	output	MOSTA E16.5 STEP	yes	1861	1.8 KiB	outputs/workflows/mosta_e16_step/	workflows/mosta_e16_step/	scripts/mosta_e16_stereoseq/run_mosta_e16_step.py
MOSTA E16.5	output	MOSTA external benchmark	yes	1521	1.5 KiB	outputs/workflows/mosta_external_benchmark/	workflows/mosta_external_benchmark/	scripts/external_benchmark/external_method_benchmark.py
MOSTA E16.5	output	MOSTA metric summary	yes	293090	286.2 KiB	outputs/workflows/mosta_metric_summary/	workflows/mosta_metric_summary/	scripts/mosta_e16_stereoseq/make_metric_table.py
Prostate Slide-seq V2	output	Prostate MA threshold sensitivity	yes	4376515	4.2 MiB	outputs/workflows/prostate_ma_threshold_sensitivity/	workflows/prostate_ma_threshold_sensitivity/	scripts/crc_visium_hd/ma_threshold_sensitivity.py
CRC, prostate, and MOSTA external benchmarks	output	External spatial-domain cluster plots	yes	108542097	103.5 MiB	outputs/workflows/external_spatial_domain_plots/	workflows/external_method_cluster_plots/; workflows/stacked_external_method_figures/	scripts/external_benchmark/plot_external_method_clusters.py
CRC and prostate graph-training controls	output	STEP complete-neighborhood controls	yes	40302802	38.4 MiB	outputs/workflows/step_complete_neighborhood_controls/	workflows/step_complete_neighborhood_controls/	scripts/validation_controls/step_fullgraph_prostate_crc.py
MOSTA E16.5	output	MOSTA Cavity controls	yes	11099885	10.6 MiB	outputs/workflows/mosta_cavity_controls/	workflows/mosta_cavity_controls/	scripts/validation_controls/mosta_common_spot_cavity_benchmark.py; scripts/validation_controls/mosta_cavity_local_signal_control.py
MOSTA E16.5 Liver validation	output	MOSTA Liver biological and cross-section validation	yes	79639695	76.0 MiB	outputs/workflows/mosta_liver_validation/	workflows/mosta_liver_validation/	scripts/validation_controls/mosta_liver_evidence_chain.py; scripts/validation_controls/mosta_liver_cross_section_transfer.py
MERFISH and DLPFC graph-training controls	output	MERFISH and DLPFC graph-training controls	yes	95003596	90.6 MiB	outputs/workflows/graph_training_controls/	workflows/graph_training_controls/	scripts/validation_controls/advanced_graph_training_modes.py; scripts/validation_controls/dlpfc_method_graph_modes.py
