tier	dataset	archive_path	source_path	size_bytes	status	zenodo_action	producer_or_source
output	Cross-platform mouse brain comparison	outputs/workflows/cross_platform_mouse_brain/	workflows/cross_platform_mouse_brain/	24951901	present_in_repository	upload	scripts/cross_platform_mouse_brain/compare_step_nichecompass.py; scripts/cross_platform_mouse_brain/compare_step_nichecompass_domains.py
output	STEP module ablation	outputs/workflows/module_ablation/	workflows/module_ablation/	25807816	present_in_repository	upload	scripts/module_ablation/
output	MOSTA E16.5 STEP	outputs/workflows/mosta_e16_step/	workflows/mosta_e16_step/	2800	present_in_repository	upload	scripts/mosta_e16_stereoseq/run_mosta_e16_step.py
output	MOSTA external benchmark	outputs/workflows/mosta_external_benchmark/	workflows/mosta_external_benchmark/	2502	present_in_repository	upload	scripts/external_benchmark/external_method_benchmark.py
output	MOSTA metric summary	outputs/workflows/mosta_metric_summary/	workflows/mosta_metric_summary/	293663	present_in_repository	upload	scripts/mosta_e16_stereoseq/make_metric_table.py
output	Prostate MA threshold sensitivity	outputs/workflows/prostate_ma_threshold_sensitivity/	workflows/prostate_ma_threshold_sensitivity/	4376923	present_in_repository	upload	scripts/crc_visium_hd/ma_threshold_sensitivity.py
output	External spatial-domain cluster plots	outputs/workflows/external_spatial_domain_plots/	workflows/external_method_cluster_plots/; workflows/stacked_external_method_figures/	108542097	present_in_repository	upload	scripts/external_benchmark/plot_external_method_clusters.py
output	STEP complete-neighborhood controls	outputs/workflows/step_complete_neighborhood_controls/	workflows/step_complete_neighborhood_controls/	40303588	present_in_repository	upload	scripts/validation_controls/step_fullgraph_prostate_crc.py
output	MOSTA Cavity controls	outputs/workflows/mosta_cavity_controls/	workflows/mosta_cavity_controls/	11102978	present_in_repository	upload	scripts/validation_controls/mosta_common_spot_cavity_benchmark.py; scripts/validation_controls/mosta_cavity_local_signal_control.py
output	MOSTA Liver biological and cross-section validation	outputs/workflows/mosta_liver_validation/	workflows/mosta_liver_validation/	79655553	present_in_repository	upload	scripts/validation_controls/mosta_liver_evidence_chain.py; scripts/validation_controls/mosta_liver_cross_section_transfer.py
output	MERFISH and DLPFC graph-training controls	outputs/workflows/graph_training_controls/	workflows/graph_training_controls/	95006677	present_in_repository	upload	scripts/validation_controls/advanced_graph_training_modes.py; scripts/validation_controls/dlpfc_method_graph_modes.py
